H  SOFTWARE NAME & VERSION
I  GPSU 4.04,
S SymbolSet=0

H : Data Source Is Ordnance Survey
H : Please Acknowledge If Re-Posting
  - Pub = Public Access (Not Guaranteed)
  - Pri = On Private Land - Permission Reqd
  - Pil = Pillar Is Intact
  - Stu = Only Stump / Base Remains
  - Rem = No Sign Of Pillar
  - Unk = State Of Pillar Unknown
  - Source Of Access Etc Data
  - Pass = Os Passive Stns
  - Int = Internet Trawl
  - Nm = Not On Current 50K Map
  - Mh = Height Is From Map
  - Mc = Coordinates Are From Map
  

H R DATUM
M E   Ord Srvy Grt Britn,075, 5.7360400E+02, 1.1960020E-05,375,-111,431

H  COORDINATE SYSTEM
U  BRITISH GRID

W,600328,TQ,74684,16577,   108.0,Battle Hill Pub Pil Int 02
W,600329,ST,89885,45548,   208.0,Battlesbury Hill
W,600330,TL,94487,02538,    39.0,Batts Farm
W,600331,TF,22904,73306,    70.0,Baumber Pub Pil Pass S4658 02
W,600332,NY,98097,80827,   248.0,Bavington Crags
W,600333,TM,33535,38513,     1.0,Bawdsey
W,600334,NB,50759,30533,    88.0,Bayble Hill
W,600335,NR,70445,42907,   249.0,Beacharr
W,600336,TV,59038,95790,   163.0,Beachy Head Pil Pub Pass S1834 JD 05 04
W,600337,SE,52733,75189,   133.0,Beacon Banks
W,600338,SD,17482,69085,    24.0,Beacon Brow
W,600339,SU,45830,57281,   262.0,Beacon Camp
W,600340,SD,56813,42835,   266.0,Beacon Fell Pub Pil Int 02
W,600341,NZ,14615,91388,   194.0,Beacon Hill
W,600342,SU,19500,42749,   204.0,Beacon Hill Pri Pil Pass S3694 02
W,600343,SK,24126,26958,    76.0,Beacon Hill
W,600344,SP,95967,16868,   231.0,Beacon Hill Pub Pil S4550 Jd 02
W,600345,ST,12452,40994,   311.0,Beacon Hill
W,600346,SX,85802,62028,   196.0,Beacon Hill
W,600347,TA,34524,22262,    26.0,Beacon Hill
W,600348,TF,22513,79242,   109.0,Beacon Hill
W,600349,TL,85608,12860,    83.0,Beacon Hill
W,600350,SU,80721,18368,   242.0,Beacon Hill
W,600351,TQ,22704,33013,   147.0,Beacon Hill
W,600352,SU,82357,50323,   177.0,Beacon Hill Catchment
W,600353,SE,10290,25154,   261.0,Beacon Hill Halifax
W,600354,NZ,44100,45392,    86.0,Beacon Hill North
W,600355,NZ,14538,02556,   319.0,Beacon Hill South
W,600356,SY,51844,88340,   131.0,Beacon Knap
W,600357,SJ,26472,05816,   408.0,Beacon Ring pil pub S4718 K Stevens 10 04
W,600358,NG,46385,49293,   395.0,Bealach
W,600359,NN,15643,22616,   480.0,Bealach Nan Cabrach
W,600360,SE,09888,52434,   393.0,Beamsley Beacon
W,600361,SS,82387,21676,   266.0,Beaples Hill
W,600362,NK,09737,49773,    46.0,Bearhill
W,600363,SP,16298,68205,   136.0,Beaudesert
W,600364,SK,95133,21901,   113.0,Beaumont
W,600365,NZ,28782,19218,    93.0,Beaumont Hill
W,600366,NJ,90804,20523,   168.0,Beauty Hill
W,600367,TL,74984,28644,    90.0,Beazley End
W,600368,NY,08906,48896,    12.0,Beckfoot
W,600369,SK,09244,79147,  8888.0,Bee Low Nm rem K Stevens
W,600370,TQ,53522,52394,   214.0,Beechmont
W,600371,SU,48647,77175,   175.0,Beedon Hill
W,600372,TA,19820,01392,    96.0,Beelsby Top
W,600373,SX,79876,55959,   147.0,Beenleigh
W,600374,SY,21354,88575,   146.0,Beer Head
W,600375,SX,81438,40100,   110.0,Beeson
W,600376,TG,16788,43295,    64.0,Beeston Hill
W,600377,SE,26679,30837,   113.0,Beeston Royds
W,600378,SO,17643,76792,   548.0,Beguildy Beacon
W,600379,SK,43082,83842,    93.0,Beighton
W,600380,NH,36059,43485,   862.0,Beinn A' Bha'ach Ard
W,600381,NG,41075,25558,   460.0,Beinn A Bhraghad
W,600382,NH,29605,31814,   646.0,Beinn A Chairein
W,600383,NG,96558,82159,   680.0,Beinn A' Chaisgein Beag
W,600384,NF,89388,88471,   196.0,Beinn A Charnain(Pabbay I)
W,600385,NH,36996,80108,   788.0,Beinn A Chasteil
W,600386,NG,72413,49054,   626.0,Beinn A Chlachain
W,600387,NN,24626,56687,   857.0,Beinn A Chrulaiste 10467 Pub Pil Jd 02
W,600388,NN,68446,61793,   892.0,Beinn A' Chuallaich
W,600389,NG,87002,22003,   603.0,Beinn A' Chuirn
W,600390,NG,39692,45252,   208.0,Beinn A Ghlinne Bhig
W,600391,NG,43707,56260,   452.0,Beinn A Sga
W,600392,NM,40306,79146,   138.0,Beinn Airein (Muck)
W,600393,NG,93024,76177,   792.0,Beinn Airidh Charr
W,600394,NG,85958,60153,   922.0,Beinn Alligin
W,600395,NN,05128,62158,   387.0,Beinn An Aonaich Mhoir
W,600396,NC,38943,08279,   546.0,Beinn An Eoin
W,600397,NG,90512,64648,   856.0,Beinn An Eoin
W,600398,NH,43118,52197,   457.0,Beinn An Rudha Riabhaich
W,600399,NR,75220,36177,   454.0,Beinn An Tuirc
