I  GPSU 4.15
W EW5547 NZ 39075 25715 C      80.0 Thorpe Larches (CoU=)
W EW2750 NY 83470 34340 C     651.0 Three Pikes (Hew,N)
W S10119 SD 89175 98216 C     280.0 Thwaite village roadside (S)
W EW2930 NY 77548 19911 C     624.0 Tinside Rigg (O)
W EW2756 NY 65535 46675 C     637.0 Tom Smith's Stone Top (N)
W EW2794 SD 96975 76500 C     628.0 Tor Mere Top (xN)
W EW3597 NY 64050 00005 C     532.0 Uldale Head (5,Hu)
W S10100 SD 72800 97200 C     320.0 Uldale roadside (S)
W EW2752 NY 78910 33195 C     649.0 Viewing Hill (Hew,N)
W EW5300 SD 70500 99000 C     497.0 Wandale Hill (Hu)
W EW3575 NY 62485 46040 C     604.0 Watch Hill (5,ssHew)
W EW2741 NY 92853 04619 C     668.0 Water Crag (sHew,N)
W EW3593 NY 67040 01520 C     542.0 West Fell (5)
W EW2736 NY 92313 32558 C     675.0 Westernhope Moor [James's Hill] (Hew,N)
W EW5505 NZ 45282 34245 C     142.0 Whelly Hill (CoU)
W EW2779 SD 73850 81415 C     736.0 Whernside (Ma,Hew,N,CoH,CoA,CoU)
W EW2749 NY 82903 05312 C     655.0 White Mossy Hill (xN)
W EW2720 SD 75795 98827 C     708.0 Wild Boar Fell (Ma,Hew,N)
W EW5608 SD 76143 98530 C     708.0 Wild Boar Fell East Top (Un)
W EW3615 SD 79045 84850 C     558.0 Wold Fell (5)
W EW3610 SD 87510 83015 C     596.0 Woldside (5)
W EW2755 SD 68570 98530 C     639.0 Yarlside (Ma,Hew,N)
W EW2791 SD 90908 81095 C     643.0 Yockenthwaite Moor (Hew,N)
