I  GPSU 4.15
W EW3836 NY 48932 06418 C     494.0 Great Howe (Longsleddale) (B)
W EW3886 NY 30282 02170 C     405.0 Great Intake - Low Fell (B)
W EW2426 NY 25966 04276 C     696.0 Great Knott (N,B)
W EW2613 NY 53200 12400 C     440.0 Great Ladstones (WO)
W EW2342 NY 30998 33973 C     616.0 Great Lingy Hill (N,B)
W EW3847 NY 41474 22326 C     437.0 Great Meldrum (B)
W EW2583 NY 39680 25365 C     537.0 Great Mell Fell (Ma,W,5,B)
W EW3870 SD 15098 90956 C     532.0 Great Paddy Crag (B)
W EW2539 NY 35590 10402 C     766.0 Great Rigg (Hew,N,W,B)
W EW2580 NY 52608 08648 C     560.0 Great Saddle Crag (WO,B)
W EW2338 NY 29138 33897 C     651.0 Great Sca Fell (xN,W,B)
W EW2778 NY 15460 11210 C     805.0 Great Scoat Fell (xN)
W EW2678 SD 21177 91599 C     305.0 Great Stickle (WO,B)
W EW3880 SD 19803 98953 C     425.0 Great Whinscale (B)
W EW2660 SD 19367 96880 C     427.0 Great Worm Crag (WO,B)
W EW2575 NY 52515 07594 C     591.0 Great Yarlside (WO,B)
W EW3661 NY 52046 07956 C     597.0 Great Yarlside (x5)
W EW2655 SD 20015 98278 C     489.0 Green Crag (sMa,W,B,Hu)
W EW3569 NY 20245 13065 C     528.0 Green Crag (5)
W EW2384 NY 21467 10720 C     801.0 Green Gable (Hew,N,W,B)
W EW3722 NY 25829 37490 C     321.0 Green How - Aughertree Fell (B)
W EW2661 SD 23630 95090 C     420.0 Green Pikes (WO)
W EW2531 NY 35272 18758 C     795.0 Green Side [White Stones - Green Side] (Hew,N,B)
W S10061 NY 14400 05600 C      80.0 Greendale grass verge (S)
W EW2565 NY 49700 07202 C     638.0 Grey Crag [Sleddale Fell] (Hew,N,W,B)
W EW2639 NY 26020 00388 C     773.0 Grey Friar (Hew,N,W,B)
W EW2424 NY 21726 12568 C     697.0 Grey Knotts (N,W,B)
W EW2482 NY 08503 14091 C     486.0 Grike (W,B)
W EW2386 NY 19842 22546 C     791.0 Grisedale Pike (Ma,Hew,N,W,B)
W EW2671 SD 39044 88486 C     321.0 Gummer's How (Ma,WO,B)
W EW2623 NY 43302 19825 C     388.0 Hallin Fell (Ma,W,B)
W EW5618                C     222.0 Hampsfell (Hu)
W EW2696 SD 39935 79370 C     220.0 Hampsfell (Wainwright summit) (WO)
W EW5290 NX 95200 13400 C     141.0 Hannah Moor (Hu)
W EW2469 NY 23185 02375 C     549.0 Hard Knott (Ma,W,5,B)
W EW3708 NY 27700 29900 C     538.0 Hare Crag (B)
W EW2599 NY 49756 13152 C     503.0 Hare Shaw (WO,B)
W EW2341 NY 31522 34390 C     627.0 Hare Stones (N,B)
W EW2618 NY 51040 14455 C     415.0 Harper Hills (WO,B)
W EW2406 NY 28170 07406 C     736.0 Harrison Stickle (Hew,N,W,B)
W EW2567 NY 50106 07804 C     637.0 Harrop Pike (N,B)
W EW2529 NY 36821 11271 C     822.0 Hart Crag (Hew,N,W,B)
W EW2543 NY 35912 19741 C     756.0 Hart Side (sHew,N,W,B)
W EW2643 SD 21896 99730 C     654.0 Harter Fell (Eskdale) (Ma,Hew,N,W,B)
W EW2537 NY 45975 09329 C     778.0 Harter Fell (Mardale) (sMa,Hew,N,W,B,Hu)
W EW2578 NY 38310 12000 C     581.0 Hartsop Above How [Gill Crag - Hartsop Above How] (W,B)
W EW2572 NY 41133 11855 C     618.0 Hartsop Dodd (sHew,N,W,B)
W S10082 NY 41000 13000 C     170.0 Hartsop village carpark (S)
W EW3793 NY 13350 24766 C     385.0 Hatteringill Head - Whin Fell (B)
W S10080 NY 46900 10750 C     250.0 Haweswater Hd carpark (S)
W EW3876 NY 29940 01490 C     441.0 Hawk Rigg (B)
W EW2385 NY 14477 10719 C     797.0 Haycock (Hew,N,W,B)
W EW2457 NY 19337 13151 C     597.0 Haystacks (Buttermere) (W,5,B)
W EW3883 NY 30066 01394 C     421.0 Haystacks (Tilberthwaite) (B)
W EW3867 NY 26900 01600 C     662.0 Hell Gill Pike (B)
W EW2498 NY 32654 09348 C     396.0 Helm Crag (W,B)
W EW2515 NY 34268 15082 C     950.0 Helvellyn (Ma,Hew,N,W,B,CoH)
W EW2516 NY 33750 15544 C     925.0 Helvellyn - Lower Man (N,B)
W EW2481 NY 13215 18115 C     509.0 Hen Comb (sMa,W,5,B,Hu)
W EW3741 NY 11758 16345 C     562.0 Herdus (B)
W EW3822 NY 37360 17815 C     612.0 Heron Pike (Glenridding) (B)
W EW2573 NY 35608 08302 C     612.0 Heron Pike (Rydal) (sHew,N,W,B)
W EW2571 NY 35734 08664 C     621.0 Heron Pike North Top [Rydal Fell] (sHew,N,B)
W EW2656 SD 17612 94676 C     477.0 Hesk Fell (WO,B,Hu)
W EW2624 NY 48803 23159 C     375.0 Heughscar Hill (WO,B)
W EW3824 NY 36784 21418 C     575.0 High Brow (B)
W EW2401 NY 18046 14005 C     744.0 High Crag (Buttermere) (Hew,N,W,B)
W EW2519 NY 34334 13674 C     884.0 High Crag (Grisedale) (xN,B)
W EW3746 NY 21747 17490 C     529.0 High Crags (Newlands) (B)
W EW3574 NY 41546 18252 C     501.0 High Dodd (5,B)
W EW3879 NY 30025 01711 C     428.0 High Fell (B)
W EW3739 NY 22991 05794 C     572.0 High Gait Crags (B)
W EW2589 NY 39350 10766 C     519.0 High Hartsop Dodd (W,B)
W EW2602 NY 54318 04834 C     495.0 High House Bank (WO,B)
W EW2428 NY 24023 09245 C     684.0 High House Tarn Top [High House - Allen Crags] (N,B)
W EW3810 NY 09636 20210 C     313.0 High Hows (Lamplugh) (B)
W EW2630 NY 45400 00100 C     275.0 High Knott (WO)
W EW2685 SD 30330 90477 C     263.0 High Light Haw (WO)
W EW5289 NY 04294 21200 C     247.0 High Park (Hu)
W EW3762 NY 10993 18886 C     475.0 High Pen (B)
W EW2337 NY 31876 35008 C     658.0 High Pike (Caldbeck) (Hew,N,W,B)
W EW2562 NY 37436 08826 C     656.0 High Pike (Scandale) (W,B)
W EW3891 SD 26400 94900 C     354.0 High Pike Haw (B)
W EW2530 NY 44822 13461 C     802.0 High Raise (High Street) (Hew,N,W,B)
